Point_ID;Sp;G_size;Date;H_first;H_last;T;T.s;Dist_.m.;Speed.m.s;Interval.min;Dist_det;Ang_det;Behaviour
9;FallowDeer;2;25/12/2019;21:05:49;;NA;NA;;NA;5;25;0;Moving
9;FallowDeer;2;25/12/2019;23:47:46;23:48:16;0:00:30;30;5.00;0.17;5;30;-5;Moving
9;FallowDeer;7;26/12/2019;19:54:08;;NA;NA;;NA;5;20;-12;Moving
9;FallowDeer;1;26/12/2019;22:24:12;;NA;NA;;NA;5;14;-3;Moving
9;FallowDeer;3;27/12/2019;22:16:26;22:16:37;0:00:11;11;5.70;0.52;4;11;-12;Moving
9;FallowDeer;;27/12/2019;22:16:34;22:16:38;0:00:04;4;2.30;0.58;5;;;Moving
9;FallowDeer;6;29/12/2019;19:34:11;19:34:14;0:00:03;3;3.50;1.17;5;15;4;Moving
9;FallowDeer;;29/12/2019;19:34:12;19:34:14;0:00:02;2;0.90;0.45;5;;;Moving
9;FallowDeer;4;29/12/2019;23:03:52;;NA;NA;;NA;5;14;-4;Feeding
11;FallowDeer;1;13/02/2020;19:12:10;18:25:00;NA;NA;;NA;1;1;0;Feeding
11;FallowDeer;3;13/02/2020;19:13:17;19:15:26;0:02:09;129;2.50;0.02;1;3;18;Feeding
11;FallowDeer;;13/02/2020;19:14:39;19:15:02;0:00:23;23;4.50;0.20;3;;;Feeding
11;FallowDeer;2;13/02/2020;19:15:31;19:15:44;0:00:13;13;5.10;0.39;1;2.6;-12;Feeding
11;FallowDeer;;13/02/2020;19:16:04;19:16:10;0:00:06;6;2.00;0.33;1;1.7;-12;Feeding
11;FallowDeer;1;23/02/2020;18:59:20;18:59:44;0:00:24;24;7.50;0.31;3;5.8;-17;Feeding
11;FallowDeer;4;02/03/2020;0:16:51;0:17:01;0:00:10;10;3.00;0.30;1;3.7;18;Feeding
11;FallowDeer;;02/03/2020;0:17:02;0:17:16;0:00:14;14;3.10;0.22;2;3.8;18;Moving
